name,description,homepage,num_install_30d,num_install_90d,num_install_365d,num_install_on_request_30d,num_install_on_request_90d,num_install_on_request_365d,generated_date 
exact-image,Image processing library,https://exactcode.com/opensource/exactimage/,48,169,773,3,14,78,2021-08-21
excel-compare,Command-line tool (and API) for diffing Excel Workbooks,https://github.com/na-ka-na/ExcelCompare,26,64,256,26,64,258,2021-08-21
exempi,Library to parse XMP metadata,https://wiki.freedesktop.org/libopenraw/Exempi/,82,210,959,70,180,756,2021-08-21
exenv,Elixir versions management tool,https://github.com/mururu/exenv,12,43,133,12,43,133,2021-08-21
exercism,Command-line tool to interact with exercism.io,https://exercism.io/cli/,1901,5999,25666,1900,5997,25586,2021-08-21
exif,"Read, write, modify, and display EXIF data on the command-line",https://libexif.github.io/,222,719,3280,222,718,3256,2021-08-21
exiftags,Utility to read EXIF tags from a digital camera JPEG file,https://johnst.org/sw/exiftags/,16,41,173,16,41,173,2021-08-21
exiftool,Perl lib for reading and writing EXIF metadata,https://exiftool.org,9240,24948,81499,8859,23902,77206,2021-08-21
exiftran,Transform digital camera jpegs and their EXIF data,https://www.kraxel.org/blog/linux/fbida/,12,36,199,12,36,197,2021-08-21
exim,Complete replacement for sendmail,https://exim.org,11,57,231,11,57,228,2021-08-21
exiv2,EXIF and IPTC metadata manipulation library and tools,https://www.exiv2.org/,752,2892,8757,497,1928,5614,2021-08-21
exodriver,Thin interface to LabJack devices,https://labjack.com/support/linux-and-mac-os-x-drivers,5,22,90,5,22,84,2021-08-21
exomizer,6502 compressor with CBM PET 4032 support,https://bitbucket.org/magli143/exomizer/wiki/Home,0,0,13,0,0,13,2021-08-21
expat,XML 1.0 parser,https://libexpat.github.io/,11833,47678,177842,647,3247,12141,2021-08-21
expect,Program that can automate interactive applications,https://core.tcl-lang.org/expect/index,1106,3381,13714,1080,3313,13503,2021-08-21
exploitdb,Database of public exploits and corresponding vulnerable software,https://www.exploit-db.com/,1783,5156,21564,1768,5108,21292,2021-08-21
ext2fuse,Compact implementation of ext2 file system using FUSE,https://sourceforge.net/projects/ext2fuse,15,55,2071,15,55,2028,2021-08-21
ext4fuse,Read-only implementation of ext4 for FUSE,https://github.com/gerard/ext4fuse,143,1123,20965,143,1123,20936,2021-08-21
extra-cmake-modules,Extra modules and scripts for CMake,https://api.kde.org/frameworks/extra-cmake-modules/html/index.html,348,1254,2336,173,615,1116,2021-08-21
extract_url,Perl script to extracts URLs from emails or plain text,https://www.memoryhole.net/~kyle/extract_url/,8,26,184,8,26,184,2021-08-21
exult,Recreation of Ultima 7,https://exult.sourceforge.io/,3,11,55,3,11,53,2021-08-21
eye-d3,Work with ID3 metadata in .mp3 files,https://eyed3.nicfit.net/,94,322,2637,58,189,1822,2021-08-21
ezstream,Client for Icecast streaming servers,https://icecast.org/ezstream/,8,26,129,8,26,128,2021-08-21
f3,Test various flash cards,https://fight-flash-fraud.readthedocs.io/en/latest/,290,872,5364,291,872,5307,2021-08-21
f3d,Fast and minimalist 3D viewer,https://kitware.github.io/F3D/,15,36,171,15,36,171,2021-08-21
faac,ISO AAC audio encoder,https://sourceforge.net/projects/faac/,1953,6109,27905,147,435,1889,2021-08-21
faad2,ISO AAC audio decoder,https://sourceforge.net/projects/faac/,1679,5271,23718,58,263,1335,2021-08-21
faas-cli,CLI for templating and/or deploying FaaS functions,https://www.openfaas.com/,287,1616,8699,287,1617,8701,2021-08-21
fabio,Zero-conf load balancing HTTP(S) router,https://github.com/fabiolb/fabio,13,38,285,13,38,281,2021-08-21
fabric,Library and command-line tool for SSH,https://www.fabfile.org/,192,612,4714,191,610,4642,2021-08-21
fabric-completion,Bash completion for Fabric,https://github.com/kbakulin/fabric-completion,10,31,116,10,31,116,2021-08-21
fabric-installer,Installer for Fabric for the vanilla launcher,https://fabricmc.net/,9,33,47,9,33,47,2021-08-21
fades,Automatically handle virtualenvs for python scripts,https://fades.readthedocs.io/,2,10,92,2,10,92,2021-08-21
fail2ban,Scan log files and ban IPs showing malicious signs,https://www.fail2ban.org/,40,264,1320,40,264,1307,2021-08-21
fairymax,AI for playing Chess variants,https://www.chessvariants.com/index/msdisplay.php?itemid=MSfairy-max,24,73,356,0,9,46,2021-08-21
faiss,Efficient similarity search and clustering of dense vectors,https://github.com/facebookresearch/faiss,36,106,334,36,106,334,2021-08-21
fakeroot,Provide a fake root environment,https://tracker.debian.org/pkg/fakeroot,137,447,2406,121,395,2054,2021-08-21
falcon,Multi-paradigm programming language and scripting engine,http://www.falconpl.org/,17,31,88,17,31,86,2021-08-21
fantom,"Object oriented, portable programming language",https://fantom.org/,7,37,123,7,37,119,2021-08-21
fanyi,Mandarin and english translate tool in your command-line,https://github.com/afc163/fanyi,18,33,35,18,33,35,2021-08-21
fargatecli,CLI for AWS Fargate,https://github.com/awslabs/fargatecli,9,26,192,9,26,192,2021-08-21
fasd,CLI tool for quick access to files and directories,https://github.com/clvv/fasd,554,1681,7575,552,1677,7568,2021-08-21
fastbit,Open-source data processing library in NoSQL spirit,https://sdm.lbl.gov/fastbit/,6,27,63,6,27,62,2021-08-21
fastd,Fast and Secure Tunnelling Daemon,https://github.com/NeoRaider/fastd,6,20,77,6,20,76,2021-08-21
fastjar,Implementation of Sun's jar tool,https://savannah.nongnu.org/projects/fastjar,44,117,405,44,117,401,2021-08-21
fastlane,Easiest way to build and release mobile apps,https://fastlane.tools,17907,51945,215039,17883,51847,207896,2021-08-21
fastme,Accurate and fast distance-based phylogeny inference program,http://www.atgc-montpellier.fr/fastme/,5,9,72,5,10,73,2021-08-21
fastmod,Fast partial replacement for the codemod tool,https://github.com/facebookincubator/fastmod,25,83,340,25,83,340,2021-08-21
fastqc,Quality control tool for high throughput sequence data,https://www.bioinformatics.babraham.ac.uk/projects/fastqc/,105,340,1385,106,341,1376,2021-08-21
fasttext,Library for fast text representation and classification,https://fasttext.cc,22,66,265,22,66,265,2021-08-21
fatsort,Sorts FAT16 and FAT32 partitions,https://fatsort.sourceforge.io/,34,96,487,34,96,475,2021-08-21
faudio,Accuracy-focused XAudio reimplementation for open platforms,https://fna-xna.github.io/,79,162,400,79,159,392,2021-08-21
fauna-shell,Interactive shell for FaunaDB,https://fauna.com/,93,229,1381,93,229,1381,2021-08-21
faust,Functional programming language for real time signal processing,https://faust.grame.fr,160,270,1115,88,155,551,2021-08-21
fava,Web interface for the double-entry bookkeeping software Beancount,https://beancount.github.io/fava/,30,114,550,30,114,550,2021-08-21
fb-client,Shell-script client for https://paste.xinu.at,https://paste.xinu.at,23,41,173,23,41,167,2021-08-21
fbi-servefiles,Serve local files to Nintendo 3DS via FBI remote installer,https://github.com/Steveice10/FBI,1,5,38,1,5,38,2021-08-21
fblog,Small command-line JSON log viewer,https://github.com/brocode/fblog,14,36,140,14,36,140,2021-08-21
fceux,All-in-one NES/Famicom Emulator,https://fceux.com/,54,162,470,54,162,470,2021-08-21
fcgi,Protocol for interfacing interactive programs with a web server,https://fastcgi-archives.github.io/,99,295,1659,60,179,964,2021-08-21
fcgiwrap,CGI support for Nginx,https://www.nginx.com/resources/wiki/start/topics/examples/fcgiwrap/,5,23,114,5,23,114,2021-08-21
fcitx-remote-for-osx,Handle input method in command-line,https://github.com/xcodebuild/fcitx-remote-for-osx,7,22,138,7,22,139,2021-08-21
fcl,Flexible Collision Library,https://flexible-collision-library.github.io/,850,2671,10862,8,62,358,2021-08-21
fcp,Significantly faster alternative to the classic Unix cp(1) command,https://github.com/Svetlitski/fcp/,56,167,167,56,167,167,2021-08-21
fcrackzip,Zip password cracker,http://oldhome.schmorp.de/marc/fcrackzip.html,494,1642,7993,494,1642,7984,2021-08-21
fd,"Simple, fast and user-friendly alternative to find",https://github.com/sharkdp/fd,3912,12517,59790,3826,12334,59460,2021-08-21
fdclone,Console-based file manager,https://hp.vector.co.jp/authors/VA012337/soft/fd/,19,49,259,19,49,256,2021-08-21
fdk-aac,Standalone library of the Fraunhofer FDK AAC code from Android,https://sourceforge.net/projects/opencore-amr/,2366,8077,28857,649,2152,7840,2021-08-21
fdk-aac-encoder,Command-line encoder frontend for libfdk-aac,https://github.com/nu774/fdkaac,115,364,1498,62,196,856,2021-08-21
fdroidserver,Create and manage Android app repositories for F-Droid,https://f-droid.org,27,126,362,27,125,359,2021-08-21
fdupes,Identify or delete duplicate files,https://github.com/adrianlopezroche/fdupes,461,1412,8724,460,1409,8421,2021-08-21
feedgnuplot,Tool to plot realtime and stored data from the command-line,https://github.com/dkogan/feedgnuplot,124,204,835,124,203,830,2021-08-21
feh,X11 image viewer,https://feh.finalrewind.org/,697,1468,6761,659,1399,6262,2021-08-21
fennel,Lua Lisp Language,https://fennel-lang.org,73,147,620,73,147,620,2021-08-21
fetch,"Download assets from a commit, branch, or tag of GitHub repositories",https://www.gruntwork.io/,94,302,1399,94,303,1396,2021-08-21
fetch-crl,Retrieve certificate revocation lists (CRLs),https://wiki.nikhef.nl/grid/FetchCRL3,2,6,27,2,6,27,2021-08-21
fetchmail,"Client for fetching mail from POP, IMAP, ETRN or ODMR-capable servers",https://www.fetchmail.info/,212,362,2088,212,362,1999,2021-08-21
fex,Powerful field extraction tool,https://www.semicomplete.com/projects/fex/,1,5,19,1,5,19,2021-08-21
ffe,Parse flat file structures and print them in different formats,https://ff-extractor.sourceforge.io/,4,11,42,4,11,42,2021-08-21
fff,Simple file manager written in bash,https://github.com/dylanaraps/fff,46,195,864,46,195,863,2021-08-21
ffind,Friendlier find,https://github.com/sjl/friendly-find,72,183,524,72,183,524,2021-08-21
ffmpeg,"Play, record, convert, and stream audio and video",https://ffmpeg.org/,80536,303479,1669823,64304,247849,1378312,2021-08-21
ffmpeg@2.8,"Play, record, convert, and stream audio and video",https://ffmpeg.org/,124,475,2115,124,469,2067,2021-08-21
ffmpeg2theora,Convert video files to Ogg Theora format,https://v2v.cc/~j/ffmpeg2theora/,94,213,1771,87,193,1322,2021-08-21
ffmpegthumbnailer,Create thumbnails for your video files,https://github.com/dirkvdb/ffmpegthumbnailer,90,285,2168,89,274,2002,2021-08-21
ffms2,Libav/ffmpeg based source library and Avisynth plugin,https://github.com/FFMS/ffms2,146,434,3943,121,314,2894,2021-08-21
ffsend,Fully featured Firefox Send client,https://gitlab.com/timvisee/ffsend,58,228,2198,58,227,2189,2021-08-21
fftw,C routines to compute the Discrete Fourier Transform,https://fftw.org,10253,38351,167302,3401,13534,60192,2021-08-21
ffuf,Fast web fuzzer written in Go,https://github.com/ffuf/ffuf,111,337,1203,111,337,1203,2021-08-21
fibjs,JavaScript on Fiber,https://fibjs.org/,3,24,89,3,24,86,2021-08-21
ficy,Icecast/Shoutcast stream grabber suite,https://www.thregr.org/~wavexx/software/fIcy/,0,2,16,0,2,16,2021-08-21
field3d,Library for storing voxel data on disk and in memory,https://sites.google.com/site/field3d/,7,22,216,7,21,179,2021-08-21
fifechan,C++ GUI library designed for games,https://fifengine.github.io/fifechan/,3,15,40,3,15,40,2021-08-21
fig2dev,Translates figures generated by xfig to other formats,https://mcj.sourceforge.io/,3302,12073,55154,401,1617,6353,2021-08-21
figlet,Banner-like program prints strings as ASCII art,http://www.figlet.org/,2652,10132,57693,2647,10117,57644,2021-08-21
file-formula,Utility to determine file types,https://darwinsys.com/file/,229,774,4326,228,769,4276,2021-08-21
file-roller,GNOME archive manager,https://wiki.gnome.org/Apps/FileRoller,27,91,516,27,91,509,2021-08-21
filebeat,File harvester to ship log files to Elasticsearch or Logstash,https://www.elastic.co/products/beats/filebeat,486,1736,6556,470,1696,6303,2021-08-21
fileicon,macOS CLI for managing custom icons for files and folders,https://github.com/mklement0/fileicon,74,236,988,74,237,990,2021-08-21
finatra,Scala web framework inspired by Sinatra,http://finatra.info/,0,8,10,0,8,10,2021-08-21
findent,Indent and beautify Fortran sources and generate dependency information,https://www.ratrabbit.nl/ratrabbit/findent/index.html,4,13,79,4,13,78,2021-08-21
findomain,Cross-platform subdomain enumerator,https://github.com/Findomain/findomain,108,252,1410,110,254,1410,2021-08-21
findutils,"Collection of GNU find, xargs, and locate",https://www.gnu.org/software/findutils/,11549,37044,149482,11329,36368,147177,2021-08-21
fio,I/O benchmark and stress test,https://github.com/axboe/fio,368,2327,6127,369,2328,6109,2021-08-21
firebase-cli,Firebase command-line tools,https://firebase.google.com/docs/cli/,1767,7168,33879,1767,7170,33880,2021-08-21
firefoxpwa,"Tool to install, manage and use Progressive Web Apps in Mozilla Firefox",https://github.com/filips123/FirefoxPWA,44,44,44,44,44,44,2021-08-21
fish,User-friendly command-line shell for UNIX-like operating systems,https://fishshell.com,13048,53747,173554,13027,53602,172852,2021-08-21
fits,File Information Tool Set,https://projects.iq.harvard.edu/fits,10,33,107,10,33,106,2021-08-21
fizmo,Z-Machine interpreter,https://fizmo.spellbreaker.org,2,12,74,2,9,56,2021-08-21
fizsh,Fish-like front end for ZSH,https://github.com/zsh-users/fizsh,8,38,196,8,38,196,2021-08-21
fizz,C++14 implementation of the TLS-1.3 standard,https://github.com/facebookincubator/fizz,64,199,588,56,155,419,2021-08-21
flac,Free lossless audio codec,https://xiph.org/flac/,41134,128351,590258,480,1561,7194,2021-08-21
flac123,Command-line program for playing FLAC audio files,https://flac-tools.sourceforge.io/,4,23,85,4,23,84,2021-08-21
flactag,Tag single album FLAC files with MusicBrainz CUE sheets,https://flactag.sourceforge.io/,9,17,113,9,17,113,2021-08-21
flake,FLAC audio encoder,https://flake-enc.sourceforge.io,10,30,107,10,30,107,2021-08-21
flake8,Lint your Python code for style and logical errors,https://flake8.pycqa.org/,757,2888,16141,757,2888,16086,2021-08-21
flamegraph,Stack trace visualizer,https://github.com/brendangregg/FlameGraph,44,130,573,43,126,566,2021-08-21
flank,Massively parallel Android and iOS test runner for Firebase Test Lab,https://github.com/Flank/flank,4,44,119,4,44,119,2021-08-21
flann,Fast Library for Approximate Nearest Neighbors,https://github.com/flann-lib/flann,1826,5071,19405,258,632,2361,2021-08-21
flarectl,CLI application for interacting with a Cloudflare account,https://github.com/cloudflare/cloudflare-go/tree/master/cmd/flarectl,80,204,675,79,202,672,2021-08-21
flash,Command-line script to flash SD card images of any kind,https://github.com/hypriot/flash,33,147,428,34,148,428,2021-08-21
flashrom,"Identify, read, write, verify, and erase flash chips",https://flashrom.org/,183,576,2856,183,577,2858,2021-08-21
flasm,Flash command-line assembler and disassembler,https://www.nowrap.de/flasm.html,0,0,28,0,0,28,2021-08-21
flatbuffers,"Serialization library for C++, supporting Java, C#, and Go",https://google.github.io/flatbuffers,412,1626,4641,389,1497,4309,2021-08-21
flatcc,FlatBuffers Compiler and Library in C for C,https://github.com/dvidelabs/flatcc,18,49,182,18,49,181,2021-08-21
flawfinder,Examines code and reports possible security weaknesses,https://dwheeler.com/flawfinder/,41,276,764,41,275,753,2021-08-21
fleet-cli,Manage large fleets of Kubernetes clusters,https://github.com/rancher/fleet,5,9,99,5,9,99,2021-08-21
fleetctl,Distributed init system,https://github.com/coreos/fleet,13,39,147,12,38,140,2021-08-21
flex,"Fast Lexical Analyzer, generates Scanners (tokenizers)",https://github.com/westes/flex,1949,6197,30217,1527,4955,24089,2021-08-21
flickcurl,Library for the Flickr API,https://librdf.org/flickcurl/,2,4,35,2,4,34,2021-08-21
flif,Free Loseless Image Format,https://flif.info/,2,5,34,2,5,34,2021-08-21
flint,C library for number theory,https://flintlib.org,198,550,1393,73,190,510,2021-08-21
flint-checker,Check your project for common sources of contributor friction,https://github.com/pengwynn/flint,5,7,43,5,7,42,2021-08-21
flintrock,Tool for launching Apache Spark clusters,https://github.com/nchammas/flintrock,11,39,135,11,39,135,2021-08-21
flit,Simplified packaging of Python modules,https://github.com/takluyver/flit,18,29,95,18,29,96,2021-08-21
flow,Static type checker for JavaScript,https://flowtype.org/,1656,5145,22487,1617,5025,20376,2021-08-21
flow-cli,Command-line interface that provides utilities for building Flow applications,https://onflow.org,318,1089,2579,318,1091,2580,2021-08-21
flow-tools,"Collect, send, process, and generate NetFlow data reports",https://code.google.com/archive/p/flow-tools/,5,22,60,5,22,60,2021-08-21
flowgrind,"TCP measurement tool, similar to iperf or netperf",https://launchpad.net/flowgrind,1,5,33,1,5,29,2021-08-21
fltk,Cross-platform C++ GUI toolkit,https://www.fltk.org/,8624,20291,51358,1111,2377,6068,2021-08-21
fluent-bit,Data Collector for IoT,https://github.com/fluent/fluent-bit,369,1103,8151,369,1103,8152,2021-08-21
fluid-synth,Real-time software synthesizer based on the SoundFont 2 specs,https://www.fluidsynth.org,1581,4174,20047,820,2128,10913,2021-08-21
fluid-synth@2.1,Real-time software synthesizer based on the SoundFont 2 specs,https://www.fluidsynth.org,128,234,234,7,8,8,2021-08-21
flume,Hadoop-based distributed log collection and aggregation,https://flume.apache.org,24,81,362,24,81,360,2021-08-21
flux,Lightweight scripting language for querying databases,https://www.influxdata.com/products/flux/,703,2037,4976,704,2037,4966,2021-08-21
fluxctl,"Command-line tool to access Weave Flux, the Kubernetes GitOps operator",https://github.com/fluxcd/flux,1806,3808,14735,1756,3714,14543,2021-08-21
flvmeta,Manipulate Adobe flash video files (FLV),https://www.flvmeta.com/,8,20,89,8,20,87,2021-08-21
flvstreamer,Stream audio and video from flash & RTMP Servers,https://www.nongnu.org/flvstreamer/,1,2,23,1,2,23,2021-08-21
flyway,Database version control to control migrations,https://flywaydb.org/,3100,8316,30648,3094,8304,30372,2021-08-21
fmdiff,Use FileMerge as a diff command for Subversion and Mercurial,https://github.com/brunodefraine/fmscripts,5,18,50,5,18,50,2021-08-21
fmpp,Text file preprocessing tool using FreeMarker templates,https://fmpp.sourceforge.io/,8,27,115,8,27,111,2021-08-21
fmt,Open-source formatting library for C++,https://fmt.dev/,52470,134020,165197,872,1507,5327,2021-08-21
fn,Command-line tool for the fn project,https://fnproject.io,127,732,3316,127,731,3315,2021-08-21
fnm,Fast and simple Node.js version manager,https://fnm.vercel.app,1463,4143,12792,1462,4141,12787,2021-08-21
fobis,KISS build tool for automatically building modern Fortran projects,https://github.com/szaghi/FoBiS,19,45,205,19,43,199,2021-08-21
folderify,Generate pixel-perfect macOS folder icons in the native style,https://github.com/lgarron/folderify,70,233,1061,70,233,1061,2021-08-21
folly,Collection of reusable C++ library artifacts developed at Facebook,https://github.com/facebook/folly,49002,138410,143396,690,2008,6379,2021-08-21
foma,Finite-state compiler and C library,https://code.google.com/p/foma/,6,13,134,6,11,117,2021-08-21
fon-flash-cli,Flash La Fonera and Atheros chipset compatible devices,https://www.gargoyle-router.com/wiki/doku.php?id=fon_flash,0,0,9,0,0,9,2021-08-21
fondu,Tools to convert between different font formats,https://fondu.sourceforge.io/,1,3,168,1,3,167,2021-08-21
font-util,X.Org: Font package creation/installation utilities,https://www.x.org/,12,33,122,12,32,118,2021-08-21
fontconfig,XML-based font configuration API for X Windows,https://wiki.freedesktop.org/www/Software/fontconfig/,100274,320554,1179152,1035,3289,11996,2021-08-21
fontforge,Command-line outline and bitmap font editor/converter,https://fontforge.github.io,1333,4323,35903,1034,3275,27357,2021-08-21
fonttools,Library for manipulating fonts,https://github.com/fonttools/fonttools,803,1958,7848,802,1956,7774,2021-08-21
fop,XSL-FO print formatter for making PDF or PS documents,https://xmlgraphics.apache.org/fop/index.html,209,757,4707,200,729,3783,2021-08-21
forcecli,Command-line interface to Force.com,https://force-cli.herokuapp.com/,7,16,95,7,16,95,2021-08-21
ford,Automatic documentation generator for modern Fortran programs,https://github.com/cmacmackin/ford/,20,55,287,20,52,269,2021-08-21
forego,Foreman in Go for Procfile-based application management,https://github.com/ddollar/forego,112,345,1355,112,345,1350,2021-08-21
foreman,Manage Procfile-based applications,https://ddollar.github.io/foreman/,178,580,1963,178,579,1963,2021-08-21
foremost,Console program to recover files based on their headers and footers,https://foremost.sourceforge.io/,344,1099,4526,344,1098,4525,2021-08-21
forge,High Performance Visualization,https://github.com/arrayfire/forge,24,45,155,24,45,155,2021-08-21
fork-cleaner,Cleans up old and inactive forks on your GitHub account,https://github.com/caarlos0/fork-cleaner,43,61,327,43,61,326,2021-08-21
format-udf,Bash script to format a block device to UDF,https://github.com/JElchison/format-udf,7,12,34,7,12,34,2021-08-21
fortio,HTTP and gRPC load testing and visualization tool and server,https://fortio.org/,110,625,3218,110,625,3221,2021-08-21
fortune,Infamous electronic fortune-cookie generator,https://www.ibiblio.org/pub/linux/games/amusements/fortune/!INDEX.html,1238,4136,18395,1241,4139,18392,2021-08-21
fossil,Distributed software configuration management,https://www.fossil-scm.org/home/,177,926,3774,177,920,3703,2021-08-21
fourstore,"Efficient, stable RDF database",https://github.com/4store/4store,1,6,37,1,6,33,2021-08-21
fox,Toolkit for developing Graphical User Interfaces easily,http://fox-toolkit.org/,117,470,2786,56,221,1441,2021-08-21
fpart,Sorts file trees and packs them into bags,https://github.com/martymac/fpart/,4,18,66,4,18,65,2021-08-21
fpc,Free Pascal: multi-architecture Pascal compiler,https://www.freepascal.org/,198,1106,3369,162,843,2446,2021-08-21
fpdns,Fingerprint DNS server versions,https://github.com/kirei/fpdns,0,8,49,0,8,49,2021-08-21
fping,Scriptable ping program for checking if multiple hosts are up,https://fping.org/,829,2163,10627,819,2131,10054,2021-08-21
fplll,Lattice algorithms using floating-point arithmetic,https://github.com/fplll/fplll,25,111,275,24,104,247,2021-08-21
fpp,CLI program that accepts piped input and presents files for selection,https://facebook.github.io/PathPicker/,101,366,3478,101,364,3385,2021-08-21
fprobe,Libpcap-based NetFlow probe,https://sourceforge.net/projects/fprobe/,113,173,262,112,172,261,2021-08-21
fq,Brokered message queue optimized for performance,https://github.com/circonus-labs/fq,5,15,152,5,15,146,2021-08-21
fragroute,"Intercepts, modifies and rewrites egress traffic for a specified host",https://www.monkey.org/~dugsong/fragroute/,6,12,109,7,13,110,2021-08-21
freealut,Implementation of OpenAL's ALUT standard,https://github.com/vancegroup/freealut,26,94,442,13,54,208,2021-08-21
freeciv,Free and Open Source empire-building strategy game,http://freeciv.org,194,823,3386,194,821,3371,2021-08-21
freediameter,Open source Diameter (Authentication) protocol implementation,http://www.freediameter.net,11,31,86,11,30,84,2021-08-21
freedink,Portable version of the Dink Smallwood game engine,https://www.gnu.org/software/freedink/,4,16,52,4,16,52,2021-08-21
freeglut,Open-source alternative to the OpenGL Utility Toolkit (GLUT) library,https://freeglut.sourceforge.io/,925,2671,13606,278,908,5639,2021-08-21
freeimage,"Library for FreeImage, a dependency-free graphics library",https://sourceforge.net/projects/freeimage,1749,5386,21247,148,481,2368,2021-08-21
freeipmi,In-band and out-of-band IPMI (v1.5/2.0) software,https://www.gnu.org/software/freeipmi/,33,191,723,33,189,701,2021-08-21
freeling,Suite of language analyzers,http://nlp.lsi.upc.edu/freeling/,7,31,175,7,31,172,2021-08-21
freeradius-server,High-performance and highly configurable RADIUS server,https://freeradius.org/,220,922,2528,219,921,2518,2021-08-21
freerdp,X11 implementation of the Remote Desktop Protocol (RDP),https://www.freerdp.com/,1694,3788,19729,1694,3793,19675,2021-08-21
freeswitch,Telephony platform to route various communication protocols,https://freeswitch.org,46,125,589,46,125,581,2021-08-21
freetds,Libraries to talk to Microsoft SQL Server and Sybase databases,https://www.freetds.org/,74100,192982,870373,15245,37266,157010,2021-08-21
freetype,Software library to render fonts,https://www.freetype.org/,341791,632647,2642284,19000,29494,107587,2021-08-21
freexl,Library to extract data from Excel .xls files,https://www.gaia-gis.it/fossil/freexl/index,5334,17997,108194,38,135,799,2021-08-21
frege,"Non-strict, functional programming language in the spirit of Haskell",https://github.com/Frege/frege/,5,22,84,5,22,74,2021-08-21
frege-repl,REPL (read-eval-print loop) for Frege,https://github.com/Frege/frege-repl,5,14,29,5,14,29,2021-08-21
frei0r,Minimalistic plugin API for video effects,https://frei0r.dyne.org/,38507,119109,572893,146,501,2435,2021-08-21
fribidi,Implementation of the Unicode BiDi algorithm,https://github.com/fribidi/fribidi,68084,211570,1147223,562,1998,11817,2021-08-21
frobtads,TADS interpreter and compilers,https://www.tads.org/frobtads.htm,24,28,50,24,28,50,2021-08-21
frotz,Infocom-style interactive fiction player,https://661.org/proj/if/frotz/,54,183,1019,54,182,1011,2021-08-21
frpc,Client app of fast reverse proxy to expose a local server to the internet,https://github.com/fatedier/frp,314,732,2829,311,727,2819,2021-08-21
frps,Server app of fast reverse proxy to expose a local server to the internet,https://github.com/fatedier/frp,52,120,443,53,121,444,2021-08-21
frugal,Cross language code generator for creating scalable microservices,https://github.com/Workiva/frugal,38,80,415,38,80,416,2021-08-21
fruit,Dependency injection framework for C++,https://github.com/google/fruit/wiki,3,7,29,3,7,29,2021-08-21
frum,Fast and modern Ruby version manager written in Rust,https://github.com/TaKO8Ki/frum/,129,226,227,129,226,227,2021-08-21
fs-uae,Amiga emulator,https://fs-uae.net/,21,51,386,21,51,375,2021-08-21
fselect,Find files with SQL-like queries,https://github.com/jhspetersson/fselect,83,458,2012,83,457,2008,2021-08-21
fsevent_watch,macOS FSEvents client,https://github.com/proger/fsevent_watch,13,29,174,13,29,174,2021-08-21
fsevents-tools,Command-line utilities for the FSEvents API,https://geoff.greer.fm/fsevents/,24,79,347,24,79,346,2021-08-21
fsh,Provides remote command execution,https://www.lysator.liu.se/fsh/,4,10,45,4,10,45,2021-08-21
fsql,Search through your filesystem with SQL-esque queries,https://github.com/kashav/fsql,15,37,223,15,37,223,2021-08-21
fstrm,Frame Streams implementation in C,https://github.com/farsightsec/fstrm,105,333,1391,13,61,230,2021-08-21
fsw,File change monitor with multiple backends,https://emcrisostomo.github.io/fsw/,2,3,7,2,3,7,2021-08-21
fswatch,Monitor a directory for changes and run a shell command,https://github.com/emcrisostomo/fswatch,4108,15876,44769,2563,10261,29274,2021-08-21
ftgl,Freetype / OpenGL bridge,https://sourceforge.net/projects/ftgl/,13,60,349,12,51,279,2021-08-21
ftjam,Build tool that can be used as a replacement for Make,https://www.freetype.org/jam/,4,7,50,4,7,50,2021-08-21
fuego,Collection of C++ libraries for the game of Go,https://fuego.sourceforge.io/,16,30,128,16,30,127,2021-08-21
func-e,Easily run Envoy,https://func-e.io,23,42,42,23,42,42,2021-08-21
funcoeszz,Dozens of command-line mini-applications (Portuguese),https://funcoeszz.net/,0,6,30,0,6,30,2021-08-21
functionalplus,Functional Programming Library for C++,https://github.com/Dobiasd/FunctionalPlus,6,8,34,6,8,34,2021-08-21
fuse-emulator,Free Unix Spectrum Emulator,https://fuse-emulator.sourceforge.io/,32,104,464,32,104,464,2021-08-21
fuse-overlayfs,FUSE implementation for overlayfs,https://github.com/containers/fuse-overlayfs,0,0,0,0,0,0,2021-08-21
fuse-zip,FUSE file system to create & manipulate ZIP archives,https://bitbucket.org/agalanin/fuse-zip,1,10,198,1,10,193,2021-08-21
fuseki,SPARQL server,https://jena.apache.org/documentation/fuseki2/,20,131,481,20,130,478,2021-08-21
futhark,Data-parallel functional programming language,https://futhark-lang.org/,32,150,649,32,150,650,2021-08-21
fuzzy-find,Fuzzy filename finder matching across directories as well as files,https://github.com/silentbicycle/ff,10,24,124,10,24,124,2021-08-21
fwknop,Single Packet Authorization and Port Knocking,https://www.cipherdyne.org/fwknop/,29,90,456,29,90,455,2021-08-21
fwup,Configurable embedded Linux firmware update creator and runner,https://github.com/fhunleth/fwup,277,467,2205,277,466,2179,2021-08-21
fx,Command-line JSON processing tool,https://github.com/antonmedv/fx,389,1142,7374,384,1135,7362,2021-08-21
fzf,Command-line fuzzy finder written in Go,https://github.com/junegunn/fzf,14649,73372,337770,13687,69211,321083,2021-08-21
fzy,"Fast, simple fuzzy text selector with an advanced scoring algorithm",https://github.com/jhawthorn/fzy,155,519,2158,155,518,2155,2021-08-21
g2,Friendly git client,https://orefalo.github.io/g2/,3,3,22,3,3,22,2021-08-21
g3log,"Asynchronous, 'crash safe', logger that is easy to use",https://github.com/KjellKod/g3log,2,4,138,2,4,137,2021-08-21
